customer_id,total_revenue,total_orders,first_purchase,last_purchase,days_active,avg_order_value,purchase_frequency,clv,acquisition_channel,gender,age_group,city,state
C0057,780.55,1,2024-03-02,2024-03-02,1,780.55,1,780.55,Google Search,Male,18-24,Delhi,Delhi
C0059,1012.15,2,2025-08-12,2025-11-08,89,506.08,2,1012.15,Referral,Male,18-24,Chennai,Tamil Nadu
C0060,727.3,1,2025-10-22,2025-10-22,1,727.3,1,727.3,Website Direct,Male,18-24,Pune,Maharashtra
C0061,3814.75,3,2024-01-04,2024-12-30,362,1271.58,3,3814.75,Referral,Female,35-44,Pune,Maharashtra
C0062,1317.5,1,2025-06-27,2025-06-27,1,1317.5,1,1317.5,Instagram,Female,18-24,Pune,Maharashtra
C0064,1214.8,1,2025-08-20,2025-08-20,1,1214.8,1,1214.8,Website Direct,Female,35-44,Mumbai,Maharashtra
C0065,1896.5,1,2024-05-14,2024-05-14,1,1896.5,1,1896.5,Google Search,Female,18-24,Jaipur,Rajasthan
C0066,1187.45,1,2025-11-09,2025-11-09,1,1187.45,1,1187.45,Instagram,Female,25-34,Noida,Uttar Pradesh
C0067,6594.799999999999,8,2024-03-28,2025-10-16,568,824.35,8,6594.8,Google Search,Female,25-34,Nagpur,Maharashtra
C0069,7023.5,5,2024-04-08,2024-12-16,253,1404.7,5,7023.5,YouTube,Other,25-34,Surat,Gujarat
C0070,385.75,1,2024-09-02,2024-09-02,1,385.75,1,385.75,YouTube,Female,18-24,Gurugram,Haryana
C0071,2697.95,4,2024-06-16,2025-05-19,338,674.49,4,2697.95,Instagram,Male,25-34,Surat,Gujarat
C0072,3246.95,3,2024-09-02,2025-08-24,357,1082.32,3,3246.95,YouTube,Other,25-34,Vadodara,Gujarat
C0073,1038.7,2,2025-02-16,2025-12-12,300,519.35,2,1038.7,Instagram,Male,35-44,Noida,Uttar Pradesh
C0074,3279.75,3,2024-05-27,2025-10-22,514,1093.25,3,3279.75,Instagram,Male,18-24,Coimbatore,Tamil Nadu
C0075,1278.3,1,2024-03-04,2024-03-04,1,1278.3,1,1278.3,Referral,Female,18-24,Kolkata,West Bengal
C0076,1438.8000000000002,2,2024-04-20,2024-08-15,118,719.4,2,1438.8,YouTube,Male,25-34,Bengaluru,Karnataka
C0077,399.1,1,2024-06-15,2024-06-15,1,399.1,1,399.1,Website Direct,Male,25-34,Bhopal,Madhya Pradesh
C0078,5961.45,5,2024-02-26,2025-12-14,658,1192.29,5,5961.45,Google Search,Male,18-24,Hyderabad,Telangana
C0079,4947.45,5,2024-07-12,2025-06-30,354,989.49,5,4947.45,Website Direct,Male,18-24,Hyderabad,Telangana
C0080,3608.45,5,2024-01-05,2025-05-22,504,721.69,5,3608.45,Google Search,Male,45+,Coimbatore,Tamil Nadu
C0081,1857.05,2,2024-01-31,2025-08-03,551,928.52,2,1857.05,Referral,Male,35-44,Gurugram,Haryana
C0083,1386.2,2,2024-11-14,2025-02-28,107,693.1,2,1386.2,Instagram,Female,25-34,Surat,Gujarat
C0085,1969.95,1,2025-10-19,2025-10-19,1,1969.95,1,1969.95,Referral,Male,25-34,Nagpur,Maharashtra
C0086,3581.1,3,2024-10-30,2025-12-21,418,1193.7,3,3581.1,Google Search,Other,45+,Bhopal,Madhya Pradesh
C0087,2772.3999999999996,3,2024-06-15,2025-08-10,422,924.13,3,2772.4,Google Search,Male,25-34,Mumbai,Maharashtra
C0088,687.2,1,2025-10-28,2025-10-28,1,687.2,1,687.2,Google Search,Other,35-44,Gurugram,Haryana
C0089,1341.4499999999998,2,2025-10-24,2025-12-27,65,670.72,2,1341.45,YouTube,Male,25-34,Mumbai,Maharashtra
C0091,4424.65,3,2024-02-11,2025-07-18,524,1474.88,3,4424.65,Instagram,Female,25-34,Mumbai,Maharashtra
C0092,3135.8,3,2024-03-08,2024-11-06,244,1045.27,3,3135.8,Referral,Male,25-34,Jaipur,Rajasthan
C0094,3482.65,3,2024-08-12,2025-10-25,440,1160.88,3,3482.65,Referral,Female,45+,Gurugram,Haryana
C0095,2124.1,3,2024-03-26,2025-10-25,579,708.03,3,2124.1,YouTube,Female,45+,Delhi,Delhi
C0096,2157.85,3,2025-01-25,2025-04-25,91,719.28,3,2157.85,Google Search,Female,25-34,Pune,Maharashtra
C0097,4654.7,6,2024-01-28,2025-07-02,522,775.78,6,4654.7,Referral,Male,18-24,Jaipur,Rajasthan
C0098,598.0,1,2025-03-09,2025-03-09,1,598.0,1,598.0,Google Search,Male,18-24,Chennai,Tamil Nadu
C0099,3910.75,3,2024-04-02,2025-01-16,290,1303.58,3,3910.75,YouTube,Male,45+,Bhopal,Madhya Pradesh
C0100,2484.65,3,2024-05-09,2025-10-08,518,828.22,3,2484.65,Referral,Female,25-34,Pune,Maharashtra
C0101,4695.0,5,2024-05-23,2025-10-23,519,939.0,5,4695.0,Instagram,Female,25-34,Vadodara,Gujarat
C0102,3379.1000000000004,4,2024-04-23,2025-08-20,485,844.78,4,3379.1,Website Direct,Female,35-44,Lucknow,Uttar Pradesh
C0103,5785.8,4,2024-08-19,2025-05-18,273,1446.45,4,5785.8,Website Direct,Other,18-24,Kochi,Kerala
C0104,4165.45,4,2024-04-19,2024-12-19,245,1041.36,4,4165.45,Google Search,Other,35-44,Jaipur,Rajasthan
C0105,3073.0,3,2024-05-03,2025-07-14,438,1024.33,3,3073.0,Instagram,Male,25-34,Vadodara,Gujarat
C0106,2381.9,2,2024-07-10,2025-12-12,521,1190.95,2,2381.9,Google Search,Female,35-44,Kochi,Kerala
C0107,558.0,1,2024-08-11,2024-08-11,1,558.0,1,558.0,Google Search,Male,18-24,Chandigarh,Chandigarh
C0108,1362.9499999999998,2,2025-07-25,2025-08-14,21,681.47,2,1362.95,Website Direct,Other,35-44,Coimbatore,Tamil Nadu
C0110,618.05,1,2024-04-05,2024-04-05,1,618.05,1,618.05,Google Search,Male,35-44,Chandigarh,Chandigarh
C0111,1616.65,3,2024-02-21,2025-04-13,418,538.88,3,1616.65,Google Search,Male,25-34,Pune,Maharashtra
C0112,1648.65,2,2024-10-30,2024-11-10,12,824.32,2,1648.65,Instagram,Other,25-34,Nagpur,Maharashtra
C0113,4217.25,4,2024-09-08,2025-08-22,349,1054.31,4,4217.25,YouTube,Female,18-24,Jaipur,Rajasthan
C0114,3358.15,2,2024-09-29,2024-10-28,30,1679.08,2,3358.15,Website Direct,Female,18-24,Chennai,Tamil Nadu
C0115,697.15,1,2024-12-07,2024-12-07,1,697.15,1,697.15,Instagram,Other,25-34,Noida,Uttar Pradesh
C0116,4047.6,3,2024-07-07,2025-10-17,468,1349.2,3,4047.6,Instagram,Female,25-34,Indore,Madhya Pradesh
C0117,638.15,1,2024-01-22,2024-01-22,1,638.15,1,638.15,Instagram,Other,25-34,Delhi,Delhi
C0118,1784.0,3,2024-01-23,2025-02-23,398,594.67,3,1784.0,Instagram,Other,25-34,Mumbai,Maharashtra
C0119,699.0,1,2025-03-26,2025-03-26,1,699.0,1,699.0,Google Search,Male,45+,Delhi,Delhi
C0120,3252.3999999999996,4,2024-03-28,2025-06-12,442,813.1,4,3252.4,Referral,Other,25-34,Bengaluru,Karnataka
C0121,4077.1,3,2025-01-19,2025-10-10,265,1359.03,3,4077.1,YouTube,Female,45+,Surat,Gujarat
C0122,1992.15,1,2024-03-01,2024-03-01,1,1992.15,1,1992.15,Instagram,Female,35-44,Coimbatore,Tamil Nadu
C0123,2766.7,4,2024-03-08,2024-08-11,157,691.68,4,2766.7,Website Direct,Male,25-34,Vadodara,Gujarat
C0124,2035.35,3,2024-09-06,2025-06-29,297,678.45,3,2035.35,Instagram,Female,25-34,Hyderabad,Telangana
C0125,2124.95,4,2024-02-10,2024-11-15,280,531.24,4,2124.95,YouTube,Other,18-24,Chennai,Tamil Nadu
C0126,658.0,1,2024-09-23,2024-09-23,1,658.0,1,658.0,YouTube,Male,18-24,Chandigarh,Chandigarh
C0127,791.4000000000001,2,2024-06-10,2024-08-18,70,395.7,2,791.4,YouTube,Female,25-34,Kochi,Kerala
C0128,653.15,1,2024-08-13,2024-08-13,1,653.15,1,653.15,Website Direct,Male,18-24,Kolkata,West Bengal
C0129,608.0,1,2025-05-06,2025-05-06,1,608.0,1,608.0,Website Direct,Female,18-24,Ahmedabad,Gujarat
C0131,3555.0,2,2024-03-10,2025-01-03,300,1777.5,2,3555.0,Website Direct,Other,25-34,Noida,Uttar Pradesh
C0133,2606.5,4,2024-08-13,2025-04-29,260,651.62,4,2606.5,Google Search,Other,35-44,Mumbai,Maharashtra
C0134,4843.85,6,2024-03-03,2025-12-25,663,807.31,6,4843.85,Website Direct,Male,18-24,Kochi,Kerala
C0135,759.05,1,2024-12-02,2024-12-02,1,759.05,1,759.05,Website Direct,Male,25-34,Chandigarh,Chandigarh
C0136,1612.15,1,2025-05-09,2025-05-09,1,1612.15,1,1612.15,Referral,Male,25-34,Lucknow,Uttar Pradesh
C0137,643.15,1,2024-10-20,2024-10-20,1,643.15,1,643.15,Instagram,Female,25-34,Gurugram,Haryana
C0138,324.05,1,2025-10-25,2025-10-25,1,324.05,1,324.05,Google Search,Other,35-44,Bhopal,Madhya Pradesh
C0139,599.65,1,2024-06-13,2024-06-13,1,599.65,1,599.65,YouTube,Female,25-34,Delhi,Delhi
C0140,2639.95,2,2024-10-18,2025-11-05,384,1319.98,2,2639.95,Google Search,Female,25-34,Delhi,Delhi
C0142,1831.35,2,2025-05-28,2025-10-17,143,915.68,2,1831.35,Website Direct,Other,18-24,Surat,Gujarat
C0143,913.35,1,2024-01-15,2024-01-15,1,913.35,1,913.35,Google Search,Male,45+,Hyderabad,Telangana
C0144,3656.0,2,2024-10-09,2025-12-07,425,1828.0,2,3656.0,Website Direct,Other,35-44,Surat,Gujarat
C0145,2328.7,2,2024-04-26,2024-10-26,184,1164.35,2,2328.7,Google Search,Male,25-34,Pune,Maharashtra
C0146,2568.4500000000003,2,2024-11-14,2025-10-24,345,1284.23,2,2568.45,Instagram,Female,25-34,Ahmedabad,Gujarat
C0147,1416.5,3,2024-08-18,2025-10-29,438,472.17,3,1416.5,Website Direct,Male,35-44,Mumbai,Maharashtra
C0148,3047.65,3,2024-08-02,2025-05-24,296,1015.88,3,3047.65,Google Search,Other,25-34,Kochi,Kerala
C0149,688.1,1,2024-11-13,2024-11-13,1,688.1,1,688.1,Instagram,Female,45+,Lucknow,Uttar Pradesh
C0150,3026.05,3,2024-03-24,2025-10-19,575,1008.68,3,3026.05,Google Search,Female,25-34,Nagpur,Maharashtra
C0151,3164.2,5,2024-09-09,2025-09-20,377,632.84,5,3164.2,Google Search,Male,45+,Ahmedabad,Gujarat
C0152,893.2,1,2025-11-11,2025-11-11,1,893.2,1,893.2,Google Search,Male,18-24,Hyderabad,Telangana
C0154,1229.55,1,2024-08-05,2024-08-05,1,1229.55,1,1229.55,YouTube,Male,35-44,Bengaluru,Karnataka
C0156,1507.4499999999998,2,2024-05-20,2024-08-02,75,753.72,2,1507.45,Google Search,Male,45+,Bengaluru,Karnataka
C0158,966.25,2,2024-06-11,2024-12-04,177,483.12,2,966.25,Instagram,Female,25-34,Ahmedabad,Gujarat
C0160,699.0,1,2025-10-15,2025-10-15,1,699.0,1,699.0,Instagram,Female,18-24,Vadodara,Gujarat
C0161,4488.65,2,2025-09-08,2025-12-28,112,2244.32,2,4488.65,Instagram,Male,35-44,Mumbai,Maharashtra
C0162,1271.05,2,2024-10-01,2025-11-23,419,635.52,2,1271.05,Google Search,Other,25-34,Indore,Madhya Pradesh
C0163,2245.25,2,2025-05-12,2025-08-15,96,1122.62,2,2245.25,Google Search,Female,45+,Surat,Gujarat
C0164,2454.3999999999996,2,2024-02-18,2025-08-16,546,1227.2,2,2454.4,Instagram,Other,25-34,Indore,Madhya Pradesh
C0165,2370.55,2,2024-10-02,2025-04-07,188,1185.28,2,2370.55,YouTube,Other,35-44,Vadodara,Gujarat
C0166,430.65,1,2025-08-10,2025-08-10,1,430.65,1,430.65,YouTube,Female,25-34,Surat,Gujarat
C0167,3041.5499999999997,3,2025-01-05,2025-07-23,200,1013.85,3,3041.55,Instagram,Other,18-24,Ahmedabad,Gujarat
C0168,2540.8,2,2024-06-05,2025-05-29,359,1270.4,2,2540.8,Google Search,Female,25-34,Kochi,Kerala
C0170,1956.3,1,2025-08-04,2025-08-04,1,1956.3,1,1956.3,YouTube,Female,25-34,Jaipur,Rajasthan
C0171,1901.5,2,2024-09-24,2025-05-16,235,950.75,2,1901.5,Website Direct,Female,25-34,Lucknow,Uttar Pradesh
C0172,2473.75,4,2024-02-11,2025-07-01,507,618.44,4,2473.75,Google Search,Other,25-34,Bhopal,Madhya Pradesh
C0173,4349.9,5,2024-11-29,2025-09-22,298,869.98,5,4349.9,Google Search,Male,25-34,Kochi,Kerala
C0174,1611.4,2,2024-02-02,2025-09-08,585,805.7,2,1611.4,Website Direct,Female,25-34,Indore,Madhya Pradesh
C0175,893.1,1,2024-07-10,2024-07-10,1,893.1,1,893.1,YouTube,Male,35-44,Gurugram,Haryana
C0177,561.55,1,2024-10-20,2024-10-20,1,561.55,1,561.55,Website Direct,Male,45+,Delhi,Delhi
C0178,958.4,1,2024-11-18,2024-11-18,1,958.4,1,958.4,Google Search,Male,25-34,Ahmedabad,Gujarat
C0179,808.2,1,2025-08-16,2025-08-16,1,808.2,1,808.2,Website Direct,Male,25-34,Ahmedabad,Gujarat
C0180,3158.5,2,2024-10-29,2025-10-13,350,1579.25,2,3158.5,Website Direct,Female,25-34,Jaipur,Rajasthan
C0181,591.65,1,2025-09-12,2025-09-12,1,591.65,1,591.65,Instagram,Female,45+,Indore,Madhya Pradesh
C0182,688.1,1,2025-03-07,2025-03-07,1,688.1,1,688.1,YouTube,Female,45+,Jaipur,Rajasthan
C0183,363.1,1,2024-07-29,2024-07-29,1,363.1,1,363.1,Referral,Female,18-24,Coimbatore,Tamil Nadu
C0185,2435.5,2,2025-02-11,2025-05-04,83,1217.75,2,2435.5,Website Direct,Male,35-44,Pune,Maharashtra
C0186,1426.2,1,2024-07-31,2024-07-31,1,1426.2,1,1426.2,Instagram,Female,25-34,Ahmedabad,Gujarat
C0187,1472.1,2,2025-02-14,2025-07-17,154,736.05,2,1472.1,Instagram,Female,25-34,Indore,Madhya Pradesh
C0188,3239.8,3,2024-08-11,2025-10-04,420,1079.93,3,3239.8,Referral,Other,18-24,Nagpur,Maharashtra
C0189,2169.65,3,2025-01-27,2025-06-25,150,723.22,3,2169.65,Instagram,Other,18-24,Noida,Uttar Pradesh
C0190,1783.95,2,2024-02-19,2024-11-07,263,891.98,2,1783.95,Referral,Male,25-34,Noida,Uttar Pradesh
C0191,3073.55,4,2024-11-06,2025-12-03,393,768.39,4,3073.55,Google Search,Other,18-24,Nagpur,Maharashtra
C0192,958.4,1,2025-10-21,2025-10-21,1,958.4,1,958.4,Google Search,Female,18-24,Ahmedabad,Gujarat
C0193,4660.8,6,2024-05-10,2025-11-29,569,776.8,6,4660.8,Google Search,Male,45+,Lucknow,Uttar Pradesh
C0194,819.55,2,2024-05-20,2024-12-19,214,409.78,2,819.55,YouTube,Female,35-44,Nagpur,Maharashtra
C0195,3493.6,4,2024-09-26,2025-03-24,180,873.4,4,3493.6,Referral,Male,25-34,Kolkata,West Bengal
C0196,4725.9,4,2024-08-13,2025-10-15,429,1181.47,4,4725.9,YouTube,Male,35-44,Bhopal,Madhya Pradesh
C0197,2788.6,3,2025-07-29,2025-12-03,128,929.53,3,2788.6,Referral,Female,25-34,Indore,Madhya Pradesh
C0198,898.0,1,2024-04-27,2024-04-27,1,898.0,1,898.0,Google Search,Male,18-24,Bengaluru,Karnataka
C0199,1299.6999999999998,2,2024-06-30,2025-02-21,237,649.85,2,1299.7,Google Search,Other,25-34,Vadodara,Gujarat
C0200,1518.8,2,2024-08-05,2025-10-17,439,759.4,2,1518.8,Google Search,Other,18-24,Nagpur,Maharashtra
C0201,3614.9500000000003,3,2024-08-18,2025-02-28,195,1204.98,3,3614.95,Referral,Other,18-24,Vadodara,Gujarat
C0202,2941.75,3,2024-11-12,2025-10-02,325,980.58,3,2941.75,Referral,Other,25-34,Indore,Madhya Pradesh
C0203,1309.05,3,2024-06-08,2025-03-27,293,436.35,3,1309.05,YouTube,Other,25-34,Gurugram,Haryana
C0204,1585.45,3,2024-02-14,2025-11-13,639,528.48,3,1585.45,Google Search,Female,18-24,Jaipur,Rajasthan
C0205,568.15,1,2024-11-30,2024-11-30,1,568.15,1,568.15,YouTube,Female,25-34,Chennai,Tamil Nadu
C0206,1338.0,2,2025-03-04,2025-11-16,258,669.0,2,1338.0,Google Search,Female,35-44,Mumbai,Maharashtra
C0207,1077.1,2,2024-04-12,2024-09-17,159,538.55,2,1077.1,Google Search,Male,25-34,Chennai,Tamil Nadu
C0208,2982.9500000000003,3,2024-05-21,2025-05-23,368,994.32,3,2982.95,Instagram,Female,18-24,Delhi,Delhi
C0209,1114.65,3,2024-02-17,2024-04-25,69,371.55,3,1114.65,Referral,Male,25-34,Nagpur,Maharashtra
C0210,3870.9500000000003,3,2024-02-09,2025-01-31,358,1290.32,3,3870.95,Google Search,Male,25-34,Hyderabad,Telangana
C0211,2451.3999999999996,2,2024-12-14,2025-07-17,216,1225.7,2,2451.4,Instagram,Female,18-24,Surat,Gujarat
C0212,3309.55,2,2025-02-25,2025-08-30,187,1654.78,2,3309.55,Instagram,Female,35-44,Kolkata,West Bengal
C0213,998.0,1,2025-11-30,2025-11-30,1,998.0,1,998.0,Google Search,Female,18-24,Nagpur,Maharashtra
C0214,2429.6000000000004,3,2024-05-03,2025-04-16,349,809.87,3,2429.6,Google Search,Female,25-34,Indore,Madhya Pradesh
C0215,324.05,1,2025-12-05,2025-12-05,1,324.05,1,324.05,Instagram,Male,25-34,Bengaluru,Karnataka
C0216,438.4,1,2024-02-02,2024-02-02,1,438.4,1,438.4,Google Search,Female,45+,Bhopal,Madhya Pradesh
C0217,2419.3,5,2024-03-17,2025-11-30,624,483.86,5,2419.3,Google Search,Female,25-34,Indore,Madhya Pradesh
C0218,2317.25,2,2024-06-03,2025-05-07,339,1158.62,2,2317.25,Instagram,Female,25-34,Noida,Uttar Pradesh
C0219,911.25,2,2024-08-02,2024-10-19,79,455.62,2,911.25,Instagram,Female,25-34,Chennai,Tamil Nadu
C0220,2640.6,3,2024-05-11,2025-09-03,481,880.2,3,2640.6,Instagram,Male,35-44,Indore,Madhya Pradesh
C0221,2493.2,2,2024-11-05,2025-03-05,121,1246.6,2,2493.2,Instagram,Male,18-24,Ahmedabad,Gujarat
C0223,1512.25,1,2024-05-01,2024-05-01,1,1512.25,1,1512.25,Google Search,Male,35-44,Coimbatore,Tamil Nadu
C0224,1358.05,1,2024-10-27,2024-10-27,1,1358.05,1,1358.05,Google Search,Male,25-34,Chandigarh,Chandigarh
C0225,5411.599999999999,5,2024-09-11,2025-11-04,420,1082.32,5,5411.6,Referral,Male,25-34,Bengaluru,Karnataka
C0226,1232.05,2,2024-05-18,2025-10-03,504,616.02,2,1232.05,Google Search,Other,35-44,Bengaluru,Karnataka
C0227,1680.35,2,2024-06-27,2025-10-15,476,840.18,2,1680.35,YouTube,Other,25-34,Kochi,Kerala
C0228,1480.5,2,2024-08-27,2025-12-09,470,740.25,2,1480.5,Instagram,Other,25-34,Lucknow,Uttar Pradesh
C0229,4030.0499999999997,4,2025-02-01,2025-08-25,206,1007.51,4,4030.05,Instagram,Other,18-24,Lucknow,Uttar Pradesh
C0230,2409.5,2,2024-07-21,2025-03-02,225,1204.75,2,2409.5,Google Search,Male,25-34,Kochi,Kerala
C0231,466.55,1,2025-11-12,2025-11-12,1,466.55,1,466.55,Instagram,Male,25-34,Surat,Gujarat
C0232,2699.95,3,2024-10-08,2025-12-31,450,899.98,3,2699.95,Instagram,Female,25-34,Lucknow,Uttar Pradesh
C0233,2006.55,1,2024-07-01,2024-07-01,1,2006.55,1,2006.55,Website Direct,Female,25-34,Coimbatore,Tamil Nadu
C0234,759.05,1,2025-04-28,2025-04-28,1,759.05,1,759.05,YouTube,Other,25-34,Surat,Gujarat
C0235,1783.95,2,2024-08-20,2025-11-28,466,891.98,2,1783.95,Referral,Male,25-34,Bengaluru,Karnataka
C0236,2560.25,1,2024-08-18,2024-08-18,1,2560.25,1,2560.25,Instagram,Female,25-34,Noida,Uttar Pradesh
C0237,2786.25,4,2024-09-08,2025-07-12,308,696.56,4,2786.25,Instagram,Female,45+,Surat,Gujarat
C0238,2766.2,2,2024-05-05,2025-04-20,351,1383.1,2,2766.2,Referral,Female,18-24,Ahmedabad,Gujarat
C0242,2967.65,2,2024-08-23,2024-11-10,80,1483.82,2,2967.65,Website Direct,Female,25-34,Kochi,Kerala
C0243,2802.5,4,2024-01-11,2024-11-10,305,700.62,4,2802.5,Referral,Male,25-34,Kolkata,West Bengal
C0244,5902.4,4,2024-04-27,2025-11-08,561,1475.6,4,5902.4,Referral,Other,25-34,Bhopal,Madhya Pradesh
C0245,2994.0,2,2024-08-20,2025-10-08,415,1497.0,2,2994.0,Google Search,Male,18-24,Ahmedabad,Gujarat
C0246,3722.95,3,2024-10-07,2025-04-09,185,1240.98,3,3722.95,Referral,Other,35-44,Hyderabad,Telangana
C0248,2410.25,1,2025-09-11,2025-09-11,1,2410.25,1,2410.25,Google Search,Male,35-44,Pune,Maharashtra
C0249,1117.3,2,2024-10-30,2025-12-24,421,558.65,2,1117.3,Instagram,Female,25-34,Indore,Madhya Pradesh
C0250,3202.55,3,2024-02-14,2024-12-06,297,1067.52,3,3202.55,Instagram,Other,25-34,Hyderabad,Telangana
C0251,759.05,1,2025-10-07,2025-10-07,1,759.05,1,759.05,Instagram,Other,35-44,Chandigarh,Chandigarh
