order_item_id,order_id,product_id,quantity,unit_price,discount_pct,item_total,product_name,category,skin_type,mrp,cost_price,gross_margin,margin_pct,real_revenue,real_cost,real_margin,real_margin_pct,order_status,order_date,sales_channel
OI000032,O00020,P028,1,249,5,236.55,Lip Balm SPF 30,Lip Care,All Skin Types,249,92,157,63.05,236.55,92,144.55,61.11,Delivered,2025-06-13,Website
OI000033,O00021,P001,2,549,0,1098.0,2% Salicylic Acid Face Serum,Serum,Oily / Acne-Prone,549,247,302,55.01,1098.0,494,604.0,55.01,Delivered,2025-08-16,Website
OI000034,O00021,P017,1,299,10,269.1,Oat Extract Gentle Cleanser,Cleanser,Sensitive / Dry,299,121,178,59.53,269.1,121,148.10000000000002,55.04,Delivered,2025-08-16,Website
OI000035,O00021,P014,1,499,25,374.25,SPF 60 PA++++ Sunscreen,Sunscreen,All Skin Types,499,211,288,57.72,374.25,211,163.25,43.62,Delivered,2025-08-16,Website
OI000036,O00022,P004,1,649,10,584.1,Alpha Arbutin 2% Serum,Serum,All Skin Types,649,292,357,55.01,584.1,292,292.1,50.01,Delivered,2024-12-18,Mobile App
OI000038,O00024,P010,1,399,0,399.0,Vitamin B5 Moisturizer,Moisturizer,All Skin Types,399,162,237,59.4,399.0,162,237.0,59.4,Delivered,2024-10-02,Website
OI000039,O00024,P012,2,449,0,898.0,Marula Oil 5% Moisturizer,Moisturizer,Dry,449,197,252,56.12,898.0,394,504.0,56.12,Delivered,2024-10-02,Website
OI000040,O00024,P012,1,449,5,426.55,Marula Oil 5% Moisturizer,Moisturizer,Dry,449,197,252,56.12,426.55,197,229.55,53.82,Delivered,2024-10-02,Website
OI000041,O00025,P006,1,599,10,539.1,Hyaluronic Acid 2% Serum,Serum,Dry / Dehydrated,599,258,341,56.93,539.1,258,281.1,52.14,Delivered,2024-10-22,Marketplace
OI000042,O00025,P022,1,499,0,499.0,Multi-Peptide Eye Cream,Eye Care,Mature / Dry,499,218,281,56.31,499.0,218,281.0,56.31,Delivered,2024-10-22,Marketplace
OI000043,O00026,P016,1,299,0,299.0,Salicylic Acid Face Cleanser,Cleanser,Oily / Acne-Prone,299,117,182,60.87,299.0,117,182.0,60.87,Delivered,2025-04-30,Mobile App
OI000044,O00026,P007,1,699,25,524.25,AHA BHA 10% Exfoliating Serum,Serum,Oily / Combination,699,322,377,53.93,524.25,322,202.25,38.58,Delivered,2025-04-30,Mobile App
OI000045,O00027,P001,1,549,10,494.1,2% Salicylic Acid Face Serum,Serum,Oily / Acne-Prone,549,247,302,55.01,494.1,247,247.10000000000002,50.01,Delivered,2024-07-30,Mobile App
OI000046,O00027,P025,1,599,5,569.05,Bond Repair Shampoo,Hair Care,Hair Care,599,266,333,55.59,569.05,266,303.04999999999995,53.26,Delivered,2024-07-30,Mobile App
OI000047,O00028,P014,3,499,25,1122.75,SPF 60 PA++++ Sunscreen,Sunscreen,All Skin Types,499,211,288,57.72,1122.75,633,489.75,43.62,Delivered,2024-12-23,Website
OI000048,O00028,P001,2,549,10,988.2,2% Salicylic Acid Face Serum,Serum,Oily / Acne-Prone,549,247,302,55.01,988.2,494,494.20000000000005,50.01,Delivered,2024-12-23,Website
OI000049,O00029,P004,1,649,0,649.0,Alpha Arbutin 2% Serum,Serum,All Skin Types,649,292,357,55.01,649.0,292,357.0,55.01,Delivered,2025-10-17,Marketplace
OI000050,O00029,P012,2,449,15,763.3,Marula Oil 5% Moisturizer,Moisturizer,Dry,449,197,252,56.12,763.3,394,369.29999999999995,48.38,Delivered,2025-10-17,Marketplace
OI000051,O00030,P014,1,499,5,474.05,SPF 60 PA++++ Sunscreen,Sunscreen,All Skin Types,499,211,288,57.72,474.05,211,263.05,55.49,Delivered,2024-10-29,Website
OI000052,O00030,P004,1,649,15,551.65,Alpha Arbutin 2% Serum,Serum,All Skin Types,649,292,357,55.01,551.65,292,259.65,47.07,Delivered,2024-10-29,Website
OI000055,O00033,P009,2,349,0,698.0,Ceramide Moisturizer,Moisturizer,Dry / Sensitive,349,145,204,58.45,698.0,290,408.0,58.45,Delivered,2025-08-17,Website
OI000056,O00033,P007,1,699,5,664.05,AHA BHA 10% Exfoliating Serum,Serum,Oily / Combination,699,322,377,53.93,664.05,322,342.04999999999995,51.51,Delivered,2025-08-17,Website
OI000057,O00033,P002,1,599,20,479.2,10% Niacinamide Face Serum,Serum,Oily / Combination,599,265,334,55.76,479.2,265,214.2,44.7,Delivered,2025-08-17,Website
OI000058,O00034,P018,1,349,15,296.65,Glycolic Acid Face Cleanser,Cleanser,Normal / Oily,349,143,206,59.03,296.65,143,153.64999999999998,51.8,Delivered,2024-12-06,Website
OI000059,O00035,P013,1,399,25,299.25,SPF 50 Sunscreen,Sunscreen,All Skin Types,399,168,231,57.89,299.25,168,131.25,43.86,Delivered,2025-09-21,Website
OI000060,O00036,P012,1,449,0,449.0,Marula Oil 5% Moisturizer,Moisturizer,Dry,449,197,252,56.12,449.0,197,252.0,56.12,Delivered,2025-10-18,Website
OI000061,O00037,P021,3,399,5,1137.15,Caffeine Under Eye Cream,Eye Care,All Skin Types,399,157,242,60.65,1137.15,471,666.1500000000001,58.58,Delivered,2024-12-16,Website
OI000062,O00037,P001,1,549,10,494.1,2% Salicylic Acid Face Serum,Serum,Oily / Acne-Prone,549,247,302,55.01,494.1,247,247.10000000000002,50.01,Delivered,2024-12-16,Website
OI000063,O00037,P005,1,699,15,594.15,Retinol 0.3% Face Serum,Serum,Normal / Dry,699,318,381,54.51,594.15,318,276.15,46.48,Delivered,2024-12-16,Website
OI000064,O00038,P003,1,699,0,699.0,Vitamin C 10% Face Serum,Serum,All Skin Types,699,315,384,54.94,699.0,315,384.0,54.94,Delivered,2024-02-19,Mobile App
OI000065,O00039,P015,1,449,5,426.55,Aqualogica Lightweight Sunscreen,Sunscreen,Oily / Combination,449,192,257,57.24,426.55,192,234.55,54.99,Delivered,2025-12-12,Website
OI000066,O00040,P028,1,249,0,249.0,Lip Balm SPF 30,Lip Care,All Skin Types,249,92,157,63.05,249.0,92,157.0,63.05,Delivered,2024-04-26,Mobile App
OI000067,O00040,P009,1,349,20,279.2,Ceramide Moisturizer,Moisturizer,Dry / Sensitive,349,145,204,58.45,279.2,145,134.2,48.07,Delivered,2024-04-26,Mobile App
OI000068,O00041,P018,1,349,5,331.55,Glycolic Acid Face Cleanser,Cleanser,Normal / Oily,349,143,206,59.03,331.55,143,188.55,56.87,Delivered,2024-04-23,Website
OI000070,O00043,P024,2,799,0,1598.0,Hair Growth Actives Serum,Hair Care,Scalp Care,799,372,427,53.44,1598.0,744,854.0,53.44,Delivered,2024-05-21,Website
OI000071,O00043,P002,1,599,25,449.25,10% Niacinamide Face Serum,Serum,Oily / Combination,599,265,334,55.76,449.25,265,184.25,41.01,Delivered,2024-05-21,Website
OI000075,O00045,P016,1,299,20,239.2,Salicylic Acid Face Cleanser,Cleanser,Oily / Acne-Prone,299,117,182,60.87,239.2,117,122.19999999999999,51.09,Delivered,2024-05-13,Website
OI000076,O00046,P002,1,599,5,569.05,10% Niacinamide Face Serum,Serum,Oily / Combination,599,265,334,55.76,569.05,265,304.04999999999995,53.43,Delivered,2024-08-17,Website
OI000077,O00046,P016,1,299,5,284.05,Salicylic Acid Face Cleanser,Cleanser,Oily / Acne-Prone,299,117,182,60.87,284.05,117,167.05,58.81,Delivered,2024-08-17,Website
OI000079,O00048,P021,1,399,20,319.2,Caffeine Under Eye Cream,Eye Care,All Skin Types,399,157,242,60.65,319.2,157,162.2,50.81,Delivered,2025-06-03,Website
OI000080,O00049,P027,2,399,10,718.2,Body Wash with Salicylic Acid,Body Care,Oily / Acne-Prone,399,159,240,60.15,718.2,318,400.20000000000005,55.72,Delivered,2025-01-27,Mobile App
OI000081,O00049,P015,1,449,10,404.1,Aqualogica Lightweight Sunscreen,Sunscreen,Oily / Combination,449,192,257,57.24,404.1,192,212.10000000000002,52.49,Delivered,2025-01-27,Mobile App
OI000082,O00050,P009,1,349,10,314.1,Ceramide Moisturizer,Moisturizer,Dry / Sensitive,349,145,204,58.45,314.1,145,169.10000000000002,53.84,Delivered,2024-08-16,Mobile App
OI000083,O00050,P011,1,349,5,331.55,Sepicalm 3% Moisturizer,Moisturizer,Sensitive,349,148,201,57.59,331.55,148,183.55,55.36,Delivered,2024-08-16,Mobile App
OI000085,O00052,P015,1,449,0,449.0,Aqualogica Lightweight Sunscreen,Sunscreen,Oily / Combination,449,192,257,57.24,449.0,192,257.0,57.24,Delivered,2025-04-13,Mobile App
OI000086,O00053,P014,2,499,15,848.3,SPF 60 PA++++ Sunscreen,Sunscreen,All Skin Types,499,211,288,57.72,848.3,422,426.29999999999995,50.25,Delivered,2024-05-17,Mobile App
OI000087,O00054,P014,1,499,5,474.05,SPF 60 PA++++ Sunscreen,Sunscreen,All Skin Types,499,211,288,57.72,474.05,211,263.05,55.49,Delivered,2025-10-24,Mobile App
OI000088,O00055,P026,1,449,10,404.1,Body Lotion with Niacinamide,Body Care,All Skin Types,449,182,267,59.47,404.1,182,222.10000000000002,54.96,Delivered,2025-08-18,Mobile App
OI000089,O00055,P015,1,449,5,426.55,Aqualogica Lightweight Sunscreen,Sunscreen,Oily / Combination,449,192,257,57.24,426.55,192,234.55,54.99,Delivered,2025-08-18,Mobile App
OI000090,O00056,P011,1,349,10,314.1,Sepicalm 3% Moisturizer,Moisturizer,Sensitive,349,148,201,57.59,314.1,148,166.10000000000002,52.88,Delivered,2024-07-01,Website
OI000091,O00057,P002,1,599,5,569.05,10% Niacinamide Face Serum,Serum,Oily / Combination,599,265,334,55.76,569.05,265,304.04999999999995,53.43,Delivered,2024-10-19,Website
OI000092,O00058,P003,1,699,20,559.2,Vitamin C 10% Face Serum,Serum,All Skin Types,699,315,384,54.94,559.2,315,244.20000000000005,43.67,Delivered,2024-03-04,Website
OI000093,O00058,P024,1,799,10,719.1,Hair Growth Actives Serum,Hair Care,Scalp Care,799,372,427,53.44,719.1,372,347.1,48.27,Delivered,2024-03-04,Website
OI000094,O00059,P028,1,249,5,236.55,Lip Balm SPF 30,Lip Care,All Skin Types,249,92,157,63.05,236.55,92,144.55,61.11,Delivered,2025-12-13,Website
OI000095,O00059,P008,1,799,15,679.15,Granactive Retinoid 2% Serum,Serum,Normal / Mature,799,358,441,55.19,679.15,358,321.15,47.29,Delivered,2025-12-13,Website
OI000096,O00059,P013,2,399,15,678.3,SPF 50 Sunscreen,Sunscreen,All Skin Types,399,168,231,57.89,678.3,336,342.29999999999995,50.46,Delivered,2025-12-13,Website
OI000097,O00060,P007,1,699,10,629.1,AHA BHA 10% Exfoliating Serum,Serum,Oily / Combination,699,322,377,53.93,629.1,322,307.1,48.82,Delivered,2025-01-11,Mobile App
OI000098,O00060,P004,1,649,5,616.55,Alpha Arbutin 2% Serum,Serum,All Skin Types,649,292,357,55.01,616.55,292,324.54999999999995,52.64,Delivered,2025-01-11,Mobile App
OI000099,O00060,P016,1,299,0,299.0,Salicylic Acid Face Cleanser,Cleanser,Oily / Acne-Prone,299,117,182,60.87,299.0,117,182.0,60.87,Delivered,2025-01-11,Mobile App
OI000100,O00060,P004,1,649,5,616.55,Alpha Arbutin 2% Serum,Serum,All Skin Types,649,292,357,55.01,616.55,292,324.54999999999995,52.64,Delivered,2025-01-11,Mobile App
OI000101,O00061,P012,1,449,15,381.65,Marula Oil 5% Moisturizer,Moisturizer,Dry,449,197,252,56.12,381.65,197,184.64999999999998,48.38,Delivered,2024-11-14,Mobile App
OI000102,O00061,P014,1,499,5,474.05,SPF 60 PA++++ Sunscreen,Sunscreen,All Skin Types,499,211,288,57.72,474.05,211,263.05,55.49,Delivered,2024-11-14,Mobile App
OI000104,O00063,P013,1,399,20,319.2,SPF 50 Sunscreen,Sunscreen,All Skin Types,399,168,231,57.89,319.2,168,151.2,47.37,Delivered,2024-02-10,Marketplace
OI000105,O00064,P028,1,249,10,224.1,Lip Balm SPF 30,Lip Care,All Skin Types,249,92,157,63.05,224.1,92,132.1,58.95,Delivered,2024-02-14,Website
OI000106,O00065,P028,1,249,20,199.2,Lip Balm SPF 30,Lip Care,All Skin Types,249,92,157,63.05,199.2,92,107.19999999999999,53.82,Delivered,2024-08-06,Website
OI000107,O00065,P019,1,399,0,399.0,PHA 3% Alcohol-Free Toner,Toner,Sensitive,399,166,233,58.4,399.0,166,233.0,58.4,Delivered,2024-08-06,Website
OI000108,O00066,P010,1,399,10,359.1,Vitamin B5 Moisturizer,Moisturizer,All Skin Types,399,162,237,59.4,359.1,162,197.10000000000002,54.89,Delivered,2024-03-13,Website
OI000109,O00066,P001,1,549,10,494.1,2% Salicylic Acid Face Serum,Serum,Oily / Acne-Prone,549,247,302,55.01,494.1,247,247.10000000000002,50.01,Delivered,2024-03-13,Website
OI000110,O00067,P007,1,699,15,594.15,AHA BHA 10% Exfoliating Serum,Serum,Oily / Combination,699,322,377,53.93,594.15,322,272.15,45.8,Delivered,2024-03-15,Mobile App
OI000111,O00067,P026,1,449,0,449.0,Body Lotion with Niacinamide,Body Care,All Skin Types,449,182,267,59.47,449.0,182,267.0,59.47,Delivered,2024-03-15,Mobile App
OI000112,O00068,P024,2,799,0,1598.0,Hair Growth Actives Serum,Hair Care,Scalp Care,799,372,427,53.44,1598.0,744,854.0,53.44,Delivered,2025-07-12,Mobile App
OI000113,O00068,P016,1,299,10,269.1,Salicylic Acid Face Cleanser,Cleanser,Oily / Acne-Prone,299,117,182,60.87,269.1,117,152.10000000000002,56.52,Delivered,2025-07-12,Mobile App
OI000114,O00068,P027,1,399,10,359.1,Body Wash with Salicylic Acid,Body Care,Oily / Acne-Prone,399,159,240,60.15,359.1,159,200.10000000000002,55.72,Delivered,2025-07-12,Mobile App
OI000115,O00068,P001,1,549,5,521.55,2% Salicylic Acid Face Serum,Serum,Oily / Acne-Prone,549,247,302,55.01,521.55,247,274.54999999999995,52.64,Delivered,2025-07-12,Mobile App
OI000118,O00070,P014,2,499,5,948.1,SPF 60 PA++++ Sunscreen,Sunscreen,All Skin Types,499,211,288,57.72,948.1,422,526.1,55.49,Delivered,2025-04-17,Website
OI000119,O00071,P009,1,349,0,349.0,Ceramide Moisturizer,Moisturizer,Dry / Sensitive,349,145,204,58.45,349.0,145,204.0,58.45,Delivered,2025-05-12,Mobile App
OI000120,O00071,P008,1,799,5,759.05,Granactive Retinoid 2% Serum,Serum,Normal / Mature,799,358,441,55.19,759.05,358,401.04999999999995,52.84,Delivered,2025-05-12,Mobile App
OI000121,O00072,P014,2,499,20,798.4,SPF 60 PA++++ Sunscreen,Sunscreen,All Skin Types,499,211,288,57.72,798.4,422,376.4,47.14,Delivered,2025-05-06,Mobile App
OI000124,O00074,P011,1,349,5,331.55,Sepicalm 3% Moisturizer,Moisturizer,Sensitive,349,148,201,57.59,331.55,148,183.55,55.36,Delivered,2024-06-01,Mobile App
OI000128,O00076,P015,1,449,5,426.55,Aqualogica Lightweight Sunscreen,Sunscreen,Oily / Combination,449,192,257,57.24,426.55,192,234.55,54.99,Delivered,2025-04-10,Website
OI000129,O00076,P006,1,599,10,539.1,Hyaluronic Acid 2% Serum,Serum,Dry / Dehydrated,599,258,341,56.93,539.1,258,281.1,52.14,Delivered,2025-04-10,Website
OI000130,O00076,P018,2,349,0,698.0,Glycolic Acid Face Cleanser,Cleanser,Normal / Oily,349,143,206,59.03,698.0,286,412.0,59.03,Delivered,2025-04-10,Website
OI000131,O00076,P014,1,499,25,374.25,SPF 60 PA++++ Sunscreen,Sunscreen,All Skin Types,499,211,288,57.72,374.25,211,163.25,43.62,Delivered,2025-04-10,Website
OI000132,O00077,P004,1,649,15,551.65,Alpha Arbutin 2% Serum,Serum,All Skin Types,649,292,357,55.01,551.65,292,259.65,47.07,Delivered,2024-10-29,Mobile App
OI000133,O00078,P003,1,699,0,699.0,Vitamin C 10% Face Serum,Serum,All Skin Types,699,315,384,54.94,699.0,315,384.0,54.94,Delivered,2025-05-05,Website
OI000135,O00080,P004,1,649,15,551.65,Alpha Arbutin 2% Serum,Serum,All Skin Types,649,292,357,55.01,551.65,292,259.65,47.07,Delivered,2025-04-04,Website
OI000136,O00081,P012,1,449,10,404.1,Marula Oil 5% Moisturizer,Moisturizer,Dry,449,197,252,56.12,404.1,197,207.10000000000002,51.25,Delivered,2024-03-11,Website
OI000137,O00081,P010,1,399,0,399.0,Vitamin B5 Moisturizer,Moisturizer,All Skin Types,399,162,237,59.4,399.0,162,237.0,59.4,Delivered,2024-03-11,Website
OI000138,O00081,P004,2,649,10,1168.2,Alpha Arbutin 2% Serum,Serum,All Skin Types,649,292,357,55.01,1168.2,584,584.2,50.01,Delivered,2024-03-11,Website
OI000139,O00082,P010,2,399,15,678.3,Vitamin B5 Moisturizer,Moisturizer,All Skin Types,399,162,237,59.4,678.3,324,354.29999999999995,52.23,Delivered,2025-09-09,Mobile App
OI000140,O00083,P010,1,399,20,319.2,Vitamin B5 Moisturizer,Moisturizer,All Skin Types,399,162,237,59.4,319.2,162,157.2,49.25,Delivered,2025-01-25,Mobile App
OI000141,O00083,P006,1,599,10,539.1,Hyaluronic Acid 2% Serum,Serum,Dry / Dehydrated,599,258,341,56.93,539.1,258,281.1,52.14,Delivered,2025-01-25,Mobile App
OI000142,O00084,P004,1,649,5,616.55,Alpha Arbutin 2% Serum,Serum,All Skin Types,649,292,357,55.01,616.55,292,324.54999999999995,52.64,Delivered,2024-08-16,Website
OI000143,O00085,P006,1,599,5,569.05,Hyaluronic Acid 2% Serum,Serum,Dry / Dehydrated,599,258,341,56.93,569.05,258,311.04999999999995,54.66,Delivered,2024-07-27,Website
OI000144,O00086,P015,1,449,5,426.55,Aqualogica Lightweight Sunscreen,Sunscreen,Oily / Combination,449,192,257,57.24,426.55,192,234.55,54.99,Delivered,2025-12-17,Mobile App
OI000145,O00086,P016,1,299,15,254.15,Salicylic Acid Face Cleanser,Cleanser,Oily / Acne-Prone,299,117,182,60.87,254.15,117,137.15,53.96,Delivered,2025-12-17,Mobile App
OI000146,O00087,P010,3,399,0,1197.0,Vitamin B5 Moisturizer,Moisturizer,All Skin Types,399,162,237,59.4,1197.0,486,711.0,59.4,Delivered,2024-03-06,Mobile App
OI000147,O00087,P016,1,299,0,299.0,Salicylic Acid Face Cleanser,Cleanser,Oily / Acne-Prone,299,117,182,60.87,299.0,117,182.0,60.87,Delivered,2024-03-06,Mobile App
OI000148,O00087,P007,1,699,0,699.0,AHA BHA 10% Exfoliating Serum,Serum,Oily / Combination,699,322,377,53.93,699.0,322,377.0,53.93,Delivered,2024-03-06,Mobile App
OI000149,O00088,P016,1,299,25,224.25,Salicylic Acid Face Cleanser,Cleanser,Oily / Acne-Prone,299,117,182,60.87,224.25,117,107.25,47.83,Delivered,2024-10-19,Mobile App
OI000150,O00088,P009,1,349,5,331.55,Ceramide Moisturizer,Moisturizer,Dry / Sensitive,349,145,204,58.45,331.55,145,186.55,56.27,Delivered,2024-10-19,Mobile App
OI000151,O00089,P021,1,399,25,299.25,Caffeine Under Eye Cream,Eye Care,All Skin Types,399,157,242,60.65,299.25,157,142.25,47.54,Delivered,2024-04-02,Mobile App
OI000152,O00090,P021,2,399,10,718.2,Caffeine Under Eye Cream,Eye Care,All Skin Types,399,157,242,60.65,718.2,314,404.20000000000005,56.28,Delivered,2024-06-28,Website
OI000153,O00090,P027,1,399,25,299.25,Body Wash with Salicylic Acid,Body Care,Oily / Acne-Prone,399,159,240,60.15,299.25,159,140.25,46.87,Delivered,2024-06-28,Website
OI000154,O00090,P024,1,799,15,679.15,Hair Growth Actives Serum,Hair Care,Scalp Care,799,372,427,53.44,679.15,372,307.15,45.23,Delivered,2024-06-28,Website
OI000155,O00091,P015,3,449,15,1144.95,Aqualogica Lightweight Sunscreen,Sunscreen,Oily / Combination,449,192,257,57.24,1144.95,576,568.95,49.69,Delivered,2025-11-28,Website
OI000156,O00092,P026,1,449,5,426.55,Body Lotion with Niacinamide,Body Care,All Skin Types,449,182,267,59.47,426.55,182,244.55,57.33,Delivered,2024-09-26,Mobile App
OI000157,O00093,P005,1,699,10,629.1,Retinol 0.3% Face Serum,Serum,Normal / Dry,699,318,381,54.51,629.1,318,311.1,49.45,Delivered,2024-07-13,Mobile App
OI000161,O00095,P004,1,649,10,584.1,Alpha Arbutin 2% Serum,Serum,All Skin Types,649,292,357,55.01,584.1,292,292.1,50.01,Delivered,2025-03-09,Website
OI000162,O00095,P028,1,249,0,249.0,Lip Balm SPF 30,Lip Care,All Skin Types,249,92,157,63.05,249.0,92,157.0,63.05,Delivered,2025-03-09,Website
OI000163,O00096,P015,1,449,10,404.1,Aqualogica Lightweight Sunscreen,Sunscreen,Oily / Combination,449,192,257,57.24,404.1,192,212.10000000000002,52.49,Delivered,2025-01-05,Website
OI000164,O00097,P003,1,699,5,664.05,Vitamin C 10% Face Serum,Serum,All Skin Types,699,315,384,54.94,664.05,315,349.04999999999995,52.56,Delivered,2025-02-14,Mobile App
OI000167,O00099,P009,1,349,20,279.2,Ceramide Moisturizer,Moisturizer,Dry / Sensitive,349,145,204,58.45,279.2,145,134.2,48.07,Delivered,2024-08-08,Website
OI000168,O00100,P016,1,299,15,254.15,Salicylic Acid Face Cleanser,Cleanser,Oily / Acne-Prone,299,117,182,60.87,254.15,117,137.15,53.96,Delivered,2025-08-13,Mobile App
OI000169,O00101,P008,1,799,10,719.1,Granactive Retinoid 2% Serum,Serum,Normal / Mature,799,358,441,55.19,719.1,358,361.1,50.22,Delivered,2024-12-11,Marketplace
OI000170,O00102,P011,1,349,20,279.2,Sepicalm 3% Moisturizer,Moisturizer,Sensitive,349,148,201,57.59,279.2,148,131.2,46.99,Delivered,2024-10-04,Mobile App
OI000171,O00103,P011,1,349,25,261.75,Sepicalm 3% Moisturizer,Moisturizer,Sensitive,349,148,201,57.59,261.75,148,113.75,43.46,Delivered,2025-12-18,Website
OI000172,O00103,P002,1,599,10,539.1,10% Niacinamide Face Serum,Serum,Oily / Combination,599,265,334,55.76,539.1,265,274.1,50.84,Delivered,2025-12-18,Website
OI000173,O00103,P019,1,399,20,319.2,PHA 3% Alcohol-Free Toner,Toner,Sensitive,399,166,233,58.4,319.2,166,153.2,47.99,Delivered,2025-12-18,Website
OI000174,O00104,P023,2,499,10,898.2,Anti-Dandruff Shampoo,Hair Care,Scalp Care,499,221,278,55.71,898.2,442,456.20000000000005,50.79,Delivered,2024-05-14,Website
OI000175,O00104,P011,1,349,20,279.2,Sepicalm 3% Moisturizer,Moisturizer,Sensitive,349,148,201,57.59,279.2,148,131.2,46.99,Delivered,2024-05-14,Website
OI000176,O00104,P024,1,799,10,719.1,Hair Growth Actives Serum,Hair Care,Scalp Care,799,372,427,53.44,719.1,372,347.1,48.27,Delivered,2024-05-14,Website
